instance_name,source,target,label
train_n30_m2_0,0,21,1
train_n30_m2_0,0,9,1
train_n30_m2_0,0,3,0
train_n30_m2_0,1,26,1
train_n30_m2_0,1,3,0
train_n30_m2_0,1,6,0
train_n30_m2_0,1,30,0
train_n30_m2_0,1,10,0
train_n30_m2_0,1,21,0
train_n30_m2_0,2,14,1
train_n30_m2_0,2,28,0
train_n30_m2_0,2,27,0
train_n30_m2_0,3,22,1
train_n30_m2_0,3,21,0
train_n30_m2_0,4,16,1
train_n30_m2_0,4,23,0
train_n30_m2_0,4,17,0
train_n30_m2_0,5,2,1
train_n30_m2_0,5,3,0
train_n30_m2_0,5,26,0
train_n30_m2_0,5,4,0
train_n30_m2_0,5,1,0
train_n30_m2_0,6,3,0
train_n30_m2_0,6,20,1
train_n30_m2_0,6,9,0
train_n30_m2_0,6,28,0
train_n30_m2_0,7,23,1
train_n30_m2_0,7,24,0
train_n30_m2_0,7,29,0
train_n30_m2_0,7,30,0
train_n30_m2_0,8,24,1
train_n30_m2_0,8,10,0
train_n30_m2_0,8,29,0
train_n30_m2_0,9,26,0
train_n30_m2_0,9,1,1
train_n30_m2_0,9,6,0
train_n30_m2_0,10,21,0
train_n30_m2_0,10,0,1
train_n30_m2_0,10,9,0
train_n30_m2_0,10,13,0
train_n30_m2_0,11,22,0
train_n30_m2_0,11,15,1
train_n30_m2_0,11,0,0
train_n30_m2_0,11,28,0
train_n30_m2_0,12,10,1
train_n30_m2_0,12,8,0
train_n30_m2_0,12,23,0
train_n30_m2_0,12,26,0
train_n30_m2_0,13,8,1
train_n30_m2_0,13,24,0
train_n30_m2_0,13,23,0
train_n30_m2_0,13,29,0
train_n30_m2_0,13,0,0
train_n30_m2_0,14,19,1
train_n30_m2_0,14,2,0
train_n30_m2_0,14,23,0
train_n30_m2_0,14,30,0
train_n30_m2_0,14,27,0
train_n30_m2_0,15,6,1
train_n30_m2_0,15,1,0
train_n30_m2_0,15,9,0
train_n30_m2_0,16,28,1
train_n30_m2_0,16,8,0
train_n30_m2_0,16,25,0
train_n30_m2_0,17,7,1
train_n30_m2_0,17,13,0
train_n30_m2_0,17,16,0
train_n30_m2_0,17,21,0
train_n30_m2_0,17,12,0
train_n30_m2_0,18,4,1
train_n30_m2_0,18,16,0
train_n30_m2_0,18,7,0
train_n30_m2_0,18,25,0
train_n30_m2_0,18,30,0
train_n30_m2_0,19,14,0
train_n30_m2_0,19,18,1
train_n30_m2_0,19,4,0
train_n30_m2_0,19,28,0
train_n30_m2_0,19,20,0
train_n30_m2_0,19,23,0
train_n30_m2_0,19,6,0
train_n30_m2_0,19,3,0
train_n30_m2_0,20,5,1
train_n30_m2_0,20,19,0
train_n30_m2_0,20,30,0
train_n30_m2_0,20,1,0
train_n30_m2_0,21,17,1
train_n30_m2_0,21,28,0
train_n30_m2_0,21,26,0
train_n30_m2_0,22,11,1
train_n30_m2_0,22,9,0
train_n30_m2_0,22,28,0
train_n30_m2_0,22,10,0
train_n30_m2_0,23,7,0
train_n30_m2_0,23,13,0
train_n30_m2_0,23,29,1
train_n30_m2_0,23,24,0
train_n30_m2_0,23,12,0
train_n30_m2_0,24,12,1
train_n30_m2_0,24,7,0
train_n30_m2_0,24,0,0
train_n30_m2_0,24,9,0
train_n30_m2_0,25,13,1
train_n30_m2_0,25,18,0
train_n30_m2_0,25,24,0
train_n30_m2_0,26,27,1
train_n30_m2_0,26,22,0
train_n30_m2_0,26,20,0
train_n30_m2_0,26,12,0
train_n30_m2_0,27,3,1
train_n30_m2_0,27,26,0
train_n30_m2_0,27,30,0
train_n30_m2_0,27,0,0
train_n30_m2_0,27,21,0
train_n30_m2_0,28,30,1
train_n30_m2_0,28,16,0
train_n30_m2_0,28,19,0
train_n30_m2_0,28,6,0
train_n30_m2_0,28,26,0
train_n30_m2_0,28,10,0
train_n30_m2_0,29,25,1
train_n30_m2_0,29,23,0
train_n30_m2_0,29,16,0
train_n30_m2_0,29,7,0
train_n30_m2_0,29,8,0
train_n30_m2_0,29,30,0
train_n30_m2_0,30,0,1
train_n30_m2_0,30,23,0
train_n30_m2_1,0,8,1
train_n30_m2_1,0,29,1
train_n30_m2_1,0,28,0
train_n30_m2_1,0,12,0
train_n30_m2_1,1,29,0
train_n30_m2_1,1,28,0
train_n30_m2_1,1,21,0
train_n30_m2_1,1,8,0
train_n30_m2_1,1,15,1
train_n30_m2_1,2,1,0
train_n30_m2_1,2,10,1
train_n30_m2_1,3,13,0
train_n30_m2_1,3,6,1
train_n30_m2_1,3,25,0
train_n30_m2_1,3,26,0
train_n30_m2_1,4,13,0
train_n30_m2_1,4,25,1
train_n30_m2_1,4,16,0
train_n30_m2_1,5,10,0
train_n30_m2_1,5,9,1
train_n30_m2_1,5,2,0
train_n30_m2_1,5,22,0
train_n30_m2_1,5,17,0
train_n30_m2_1,6,11,1
train_n30_m2_1,6,14,0
train_n30_m2_1,6,7,0
train_n30_m2_1,7,16,0
train_n30_m2_1,7,28,1
train_n30_m2_1,7,8,0
train_n30_m2_1,7,30,0
train_n30_m2_1,7,3,0
train_n30_m2_1,8,20,1
train_n30_m2_1,8,14,0
train_n30_m2_1,9,12,1
train_n30_m2_1,9,2,0
train_n30_m2_1,9,15,0
train_n30_m2_1,9,5,0
train_n30_m2_1,9,28,0
train_n30_m2_1,10,5,1
train_n30_m2_1,10,9,0
train_n30_m2_1,10,12,0
train_n30_m2_1,10,21,0
train_n30_m2_1,11,4,1
train_n30_m2_1,12,19,1
train_n30_m2_1,12,24,0
train_n30_m2_1,13,30,1
train_n30_m2_1,13,3,0
train_n30_m2_1,13,16,0
train_n30_m2_1,13,28,0
train_n30_m2_1,13,26,0
train_n30_m2_1,13,24,0
train_n30_m2_1,14,13,1
train_n30_m2_1,14,3,0
train_n30_m2_1,14,8,0
train_n30_m2_1,14,6,0
train_n30_m2_1,15,22,1
train_n30_m2_1,15,1,0
train_n30_m2_1,15,16,0
train_n30_m2_1,15,17,0
train_n30_m2_1,16,7,1
train_n30_m2_1,16,28,0
train_n30_m2_1,16,15,0
train_n30_m2_1,16,8,0
train_n30_m2_1,16,3,0
train_n30_m2_1,16,23,0
train_n30_m2_1,17,24,1
train_n30_m2_1,17,9,0
train_n30_m2_1,17,13,0
train_n30_m2_1,17,3,0
train_n30_m2_1,18,23,1
train_n30_m2_1,18,20,0
train_n30_m2_1,18,7,0
train_n30_m2_1,18,16,0
train_n30_m2_1,18,28,0
train_n30_m2_1,18,3,0
train_n30_m2_1,18,30,0
train_n30_m2_1,19,21,1
train_n30_m2_1,19,27,0
train_n30_m2_1,19,8,0
train_n30_m2_1,19,9,0
train_n30_m2_1,19,15,0
train_n30_m2_1,19,25,0
train_n30_m2_1,20,26,0
train_n30_m2_1,20,18,1
train_n30_m2_1,20,7,0
train_n30_m2_1,20,16,0
train_n30_m2_1,20,0,0
train_n30_m2_1,21,27,1
train_n30_m2_1,21,29,0
train_n30_m2_1,21,2,0
train_n30_m2_1,21,16,0
train_n30_m2_1,21,25,0
train_n30_m2_1,22,15,0
train_n30_m2_1,22,17,1
train_n30_m2_1,22,4,0
train_n30_m2_1,22,16,0
train_n30_m2_1,23,26,1
train_n30_m2_1,23,14,0
train_n30_m2_1,23,3,0
train_n30_m2_1,24,22,0
train_n30_m2_1,24,2,1
train_n30_m2_1,24,15,0
train_n30_m2_1,24,12,0
train_n30_m2_1,24,5,0
train_n30_m2_1,25,16,1
train_n30_m2_1,25,7,0
train_n30_m2_1,25,28,0
train_n30_m2_1,25,4,0
train_n30_m2_1,25,29,0
train_n30_m2_1,25,0,0
train_n30_m2_1,25,22,0
train_n30_m2_1,26,14,1
train_n30_m2_1,26,25,0
train_n30_m2_1,27,19,0
train_n30_m2_1,27,0,1
train_n30_m2_1,27,28,0
train_n30_m2_1,27,2,0
train_n30_m2_1,27,7,0
train_n30_m2_1,28,25,0
train_n30_m2_1,28,0,1
train_n30_m2_1,28,8,0
train_n30_m2_1,28,12,0
train_n30_m2_1,28,27,0
train_n30_m2_1,29,1,1
train_n30_m2_1,29,7,0
train_n30_m2_1,29,19,0
train_n30_m2_1,30,3,1
train_n30_m2_1,30,4,0
train_n30_m2_2,0,14,1
train_n30_m2_2,0,25,1
train_n30_m2_2,1,19,0
train_n30_m2_2,1,12,1
train_n30_m2_2,1,5,0
train_n30_m2_2,1,4,0
train_n30_m2_2,1,7,0
train_n30_m2_2,2,0,1
train_n30_m2_2,2,16,0
train_n30_m2_2,2,23,0
train_n30_m2_2,3,18,1
train_n30_m2_2,3,16,0
train_n30_m2_2,3,23,0
train_n30_m2_2,3,0,0
train_n30_m2_2,3,8,0
train_n30_m2_2,4,20,1
train_n30_m2_2,4,10,0
train_n30_m2_2,4,8,0
train_n30_m2_2,4,5,0
train_n30_m2_2,4,9,0
train_n30_m2_2,5,7,1
train_n30_m2_2,5,20,0
train_n30_m2_2,5,19,0
train_n30_m2_2,5,6,0
train_n30_m2_2,5,9,0
train_n30_m2_2,6,9,1
train_n30_m2_2,6,5,0
train_n30_m2_2,7,10,0
train_n30_m2_2,7,6,1
train_n30_m2_2,7,30,0
train_n30_m2_2,8,11,1
train_n30_m2_2,8,30,0
train_n30_m2_2,8,17,0
train_n30_m2_2,8,0,0
train_n30_m2_2,9,6,0
train_n30_m2_2,9,4,1
train_n30_m2_2,10,4,0
train_n30_m2_2,10,8,1
train_n30_m2_2,11,23,1
train_n30_m2_2,11,8,0
train_n30_m2_2,11,2,0
train_n30_m2_2,11,20,0
train_n30_m2_2,11,10,0
train_n30_m2_2,11,0,0
train_n30_m2_2,11,1,0
train_n30_m2_2,12,5,1
train_n30_m2_2,12,1,0
train_n30_m2_2,12,29,0
train_n30_m2_2,12,0,0
train_n30_m2_2,13,30,0
train_n30_m2_2,13,9,0
train_n30_m2_2,13,26,1
train_n30_m2_2,14,15,0
train_n30_m2_2,14,16,1
train_n30_m2_2,15,2,1
train_n30_m2_2,15,0,0
train_n30_m2_2,15,18,0
train_n30_m2_2,15,24,0
train_n30_m2_2,15,26,0
train_n30_m2_2,16,23,0
train_n30_m2_2,16,11,0
train_n30_m2_2,16,15,0
train_n30_m2_2,16,3,0
train_n30_m2_2,16,0,0
train_n30_m2_2,16,18,0
train_n30_m2_2,16,4,0
train_n30_m2_2,17,30,1
train_n30_m2_2,17,22,0
train_n30_m2_2,18,15,1
train_n30_m2_2,18,16,0
train_n30_m2_2,18,2,0
train_n30_m2_2,18,26,0
train_n30_m2_2,19,1,1
train_n30_m2_2,19,12,0
train_n30_m2_2,19,10,0
train_n30_m2_2,19,4,0
train_n30_m2_2,19,23,0
train_n30_m2_2,19,11,0
train_n30_m2_2,19,0,0
train_n30_m2_2,19,8,0
train_n30_m2_2,20,29,1
train_n30_m2_2,20,10,0
train_n30_m2_2,20,9,0
train_n30_m2_2,20,17,0
train_n30_m2_2,21,28,1
train_n30_m2_2,22,24,1
train_n30_m2_2,22,3,0
train_n30_m2_2,22,16,0
train_n30_m2_2,22,2,0
train_n30_m2_2,22,14,0
train_n30_m2_2,22,13,0
train_n30_m2_2,23,2,0
train_n30_m2_2,23,0,1
train_n30_m2_2,23,4,0
train_n30_m2_2,24,3,1
train_n30_m2_2,24,16,0
train_n30_m2_2,24,15,0
train_n30_m2_2,24,14,0
train_n30_m2_2,24,8,0
train_n30_m2_2,25,19,1
train_n30_m2_2,25,1,0
train_n30_m2_2,25,10,0
