instance_name,source,target,label
train_n30_m2_0,0,10,0
train_n30_m2_0,0,21,1
train_n30_m2_0,0,9,1
train_n30_m2_0,0,28,0
train_n30_m2_0,0,3,0
train_n30_m2_0,1,26,1
train_n30_m2_0,1,11,0
train_n30_m2_0,1,6,0
train_n30_m2_0,1,12,0
train_n30_m2_0,2,14,1
train_n30_m2_0,2,23,0
train_n30_m2_0,3,22,1
train_n30_m2_0,3,21,0
train_n30_m2_0,4,16,1
train_n30_m2_0,4,29,0
train_n30_m2_0,5,2,1
train_n30_m2_0,5,19,0
train_n30_m2_0,5,14,0
train_n30_m2_0,5,1,0
train_n30_m2_0,6,20,1
train_n30_m2_0,6,26,0
train_n30_m2_0,6,5,0
train_n30_m2_0,7,23,1
train_n30_m2_0,7,8,0
train_n30_m2_0,8,24,1
train_n30_m2_0,8,21,0
train_n30_m2_0,9,1,1
train_n30_m2_0,9,0,0
train_n30_m2_0,9,28,0
train_n30_m2_0,10,0,1
train_n30_m2_0,10,17,0
train_n30_m2_0,11,15,1
train_n30_m2_0,11,9,0
train_n30_m2_0,11,20,0
train_n30_m2_0,12,21,0
train_n30_m2_0,12,10,1
train_n30_m2_0,12,8,0
train_n30_m2_0,12,28,0
train_n30_m2_0,13,8,1
train_n30_m2_0,13,23,0
train_n30_m2_0,14,19,1
train_n30_m2_0,14,17,0
train_n30_m2_0,15,6,1
train_n30_m2_0,15,20,0
train_n30_m2_0,16,18,0
train_n30_m2_0,16,28,1
train_n30_m2_0,16,14,0
train_n30_m2_0,17,7,1
train_n30_m2_0,17,24,0
train_n30_m2_0,17,28,0
train_n30_m2_0,18,4,1
train_n30_m2_0,18,16,0
train_n30_m2_0,18,28,0
train_n30_m2_0,19,18,1
train_n30_m2_0,19,4,0
train_n30_m2_0,20,5,1
train_n30_m2_0,20,27,0
train_n30_m2_0,20,14,0
train_n30_m2_0,20,2,0
train_n30_m2_0,21,10,0
train_n30_m2_0,21,12,0
train_n30_m2_0,21,0,0
train_n30_m2_0,21,17,1
train_n30_m2_0,22,3,0
train_n30_m2_0,22,1,0
train_n30_m2_0,22,11,1
train_n30_m2_0,22,0,0
train_n30_m2_0,22,21,0
train_n30_m2_0,23,16,0
train_n30_m2_0,23,17,0
train_n30_m2_0,23,8,0
train_n30_m2_0,23,29,1
train_n30_m2_0,23,21,0
train_n30_m2_0,23,25,0
train_n30_m2_0,23,12,0
train_n30_m2_0,24,12,1
train_n30_m2_0,24,21,0
train_n30_m2_0,24,16,0
train_n30_m2_0,24,25,0
train_n30_m2_0,25,13,1
train_n30_m2_0,25,17,0
train_n30_m2_0,25,18,0
train_n30_m2_0,26,27,1
train_n30_m2_0,27,3,1
train_n30_m2_0,27,1,0
train_n30_m2_0,28,30,1
train_n30_m2_0,28,14,0
train_n30_m2_0,28,18,0
train_n30_m2_0,28,21,0
train_n30_m2_0,29,25,1
train_n30_m2_0,29,23,0
train_n30_m2_0,29,18,0
train_n30_m2_0,29,24,0
train_n30_m2_0,30,0,1
train_n30_m2_0,30,1,0
train_n30_m2_0,30,24,0
train_n30_m2_1,0,28,1
train_n30_m2_1,0,27,1
train_n30_m2_1,0,20,0
train_n30_m2_1,1,29,1
train_n30_m2_1,2,15,0
train_n30_m2_1,2,24,1
train_n30_m2_1,2,10,0
