instance_name,num_nodes
train_n30_m2_0,31
train_n30_m2_1,31
train_n30_m2_2,31
train_n30_m2_3,31
train_n30_m2_4,31
train_n30_m2_5,31
train_n30_m2_6,31
train_n30_m2_7,31
train_n30_m3_0,31
train_n30_m3_1,31
train_n30_m3_2,31
train_n30_m3_3,31
train_n30_m3_4,31
train_n30_m3_5,31
train_n30_m3_6,31
train_n30_m3_7,31
train_n30_m5_0,31
train_n30_m5_1,31
train_n30_m5_2,31
train_n30_m5_3,31
train_n30_m5_4,31
train_n30_m5_5,31
train_n30_m5_6,31
train_n30_m5_7,31
train_n50_m2_0,51
train_n50_m2_1,51
train_n50_m2_2,51
train_n50_m2_3,51
train_n50_m2_4,51
train_n50_m2_5,51
train_n50_m2_6,51
train_n50_m2_7,51
train_n50_m3_0,51
train_n50_m3_1,51
train_n50_m3_2,51
train_n50_m3_3,51
train_n50_m3_4,51
train_n50_m3_5,51
train_n50_m3_6,51
train_n50_m3_7,51
train_n50_m5_0,51
train_n50_m5_1,51
train_n50_m5_2,51
train_n50_m5_3,51
train_n50_m5_4,51
train_n50_m5_5,51
train_n50_m5_6,51
train_n50_m5_7,51
train_n75_m2_0,76
train_n75_m2_1,76
train_n75_m2_2,76
train_n75_m2_3,76
train_n75_m2_4,76
train_n75_m2_5,76
train_n75_m2_6,76
train_n75_m2_7,76
train_n75_m3_0,76
train_n75_m3_1,76
train_n75_m3_2,76
train_n75_m3_3,76
train_n75_m3_4,76
train_n75_m3_5,76
train_n75_m3_6,76
train_n75_m3_7,76
train_n75_m5_0,76
train_n75_m5_1,76
train_n75_m5_2,76
train_n75_m5_3,76
train_n75_m5_4,76
train_n75_m5_5,76
train_n75_m5_6,76
train_n75_m5_7,76
train_n100_m2_0,101
train_n100_m2_1,101
train_n100_m2_2,101
train_n100_m2_3,101
train_n100_m2_4,101
train_n100_m2_5,101
train_n100_m2_6,101
train_n100_m2_7,101
train_n100_m3_0,101
train_n100_m3_1,101
train_n100_m3_2,101
train_n100_m3_3,101
train_n100_m3_4,101
train_n100_m3_5,101
train_n100_m3_6,101
train_n100_m3_7,101
train_n100_m5_0,101
train_n100_m5_1,101
train_n100_m5_2,101
train_n100_m5_3,101
train_n100_m5_4,101
train_n100_m5_5,101
train_n100_m5_6,101
train_n100_m5_7,101
