instance_name,num_nodes,num_salesmen,s1_is_valid,s1_total_cost,s1_longest_route_cost,s1_runtime_seconds,s1_error_message,s2_is_valid,s2_total_cost,s2_longest_route_cost,s2_runtime_seconds,s2_error_message,delta_total_cost,delta_longest_route_cost,delta_runtime_seconds,delta_total_cost_percent,delta_longest_route_percent,winner_total_cost,winner_longest_route
eil51-m2,51,2,True,453.1691444955861,236.42571414203863,0.1074683999995613,,True,452.4421931480367,242.0356978275898,0.2478341999994882,,-0.7269513475494023,5.609983685551157,0.14036579999992688,-0.16041501421253157,2.3728314434447766,Strategy2,Strategy1
eil51-m3,51,3,True,486.3907313299737,169.4308670802632,0.0509941000000253,,True,484.7745121642113,166.58820349221995,0.1641339000016159,,-1.616219165762402,-2.8426635880432514,0.1131398000015906,-0.33228823282529585,-1.677771965067391,Strategy2,Strategy2
eil51-m5,51,5,True,556.0751448173305,138.86461573165238,0.1793528999996851,,True,563.1171004345133,138.86461573165238,0.2133079999985057,,7.0419556171827935,0.0,0.0339550999988206,1.266367627255856,0.0,Strategy1,Tie
eil51-m7,51,7,True,614.283605512589,136.54909561663956,0.5310057000006054,,True,614.283605512589,136.54909561663956,0.5973034999988158,,0.0,0.0,0.0662977999982104,0.0,0.0,Tie,Tie
berlin52-m2,52,2,True,9255.993771127689,4713.244593860469,0.1738433000000441,,True,9007.60512641316,5074.135517121907,0.5006389000009221,,-248.3886447145287,360.8909232614378,0.32679560000087804,-2.683543775594684,7.656952998610317,Strategy2,Strategy1
berlin52-m3,52,3,True,8987.269376218741,4051.393115464334,0.3174610999994911,,True,9208.121379681535,3231.2813826568017,0.2208712999999988,,220.85200346279453,-820.1117328075325,-0.09658979999949233,2.457387157518524,-20.242709345512097,Strategy1,Strategy2
berlin52-m5,52,5,True,10193.02489853766,2880.737697422563,0.2056124999999156,,True,10193.02489853766,2880.737697422563,0.2756369999988237,,0.0,0.0,0.07002449999890809,0.0,0.0,Tie,Tie
berlin52-m7,52,7,True,10144.04074178395,3535.4696224926925,0.7132166999999754,,True,10186.525534888036,3535.4696224926925,0.7539926999997988,,42.48479310408584,0.0,0.0407759999998234,0.4188152846142294,0.0,Strategy1,Tie
eil76-m2,76,2,True,605.1545859324265,304.62710243150593,0.2989899999993213,,True,597.2066020081777,323.1719263137045,0.231814700000541,,-7.947983924248774,18.544823882198557,-0.0671752999987803,-1.3133807640245285,6.087713054477245,Strategy2,Strategy1
eil76-m3,76,3,True,629.332251203022,215.1881576936633,0.1935317999996186,,True,628.3545478055457,215.18815769366336,0.2413444000012532,,-0.9777033974762617,5.684341886080802e-14,0.04781260000163462,-0.15535567986660442,2.641568173176562e-14,Strategy2,Strategy1
eil76-m5,76,5,True,715.3870347955672,156.4831687518204,0.5345897000006516,,True,699.7093268742307,156.4831687518204,0.5164660999980697,,-15.677707921336491,0.0,-0.018123600002581952,-2.1915001473037092,0.0,Strategy2,Tie
eil76-m7,76,7,True,791.7143071670203,161.12924327253708,0.9758753999994952,,True,798.5228580378216,162.09991512619996,1.0221792000011192,,6.808550870801355,0.9706718536628784,0.04630380000162393,0.8599757272499335,0.6024181793127803,Strategy1,Strategy1
rat99-m2,99,2,True,1447.3198068382862,805.1070354086385,0.8657650000004651,,True,1465.1344671000577,840.534490926842,0.9177968000003602,,17.81466026177145,35.42745551820349,0.052031799999895156,1.2308724151774106,4.40034106772176,Strategy1,Strategy1
rat99-m3,99,3,True,1560.0285761710109,585.0075963319316,0.7186830999999074,,True,1552.608616473112,584.4322748199204,0.8644772000006924,,-7.419959697898776,-0.5753215120112145,0.14579410000078497,-0.475629729559864,-0.09834428059029489,Strategy2,Strategy2
rat99-m5,99,5,True,1998.3365377451337,512.9443718548544,3.2760981999999785,,True,2032.569871876996,509.6780820052445,2.838586000001669,,34.23333413186242,-3.266289849609848,-0.43751219999830937,1.7130915381495422,-0.6367727240672593,Strategy1,Strategy2
rat99-m7,99,7,True,2322.561984203928,503.4569365194618,8.58854109999993,,True,2500.6503064397907,516.689435510125,4.740362799999275,,178.0883222358625,13.232498990663203,-3.8481783000006544,7.667753258990128,2.6283278729146446,Strategy1,Strategy1
