instance_name,num_nodes,num_salesmen,is_valid,total_cost,longest_route_cost,runtime_seconds,error_message
eil51-m2,51,2,True,452.4421931480367,242.03569782758981,0.2478341999994882,
eil51-m3,51,3,True,484.7745121642113,166.58820349221995,0.16413390000161598,
eil51-m5,51,5,True,563.1171004345133,138.86461573165238,0.2133079999985057,
eil51-m7,51,7,True,614.283605512589,136.54909561663956,0.5973034999988158,
berlin52-m2,52,2,True,9007.60512641316,5074.135517121907,0.5006389000009221,
berlin52-m3,52,3,True,9208.121379681535,3231.2813826568017,0.22087129999999888,
berlin52-m5,52,5,True,10193.02489853766,2880.737697422563,0.27563699999882374,
berlin52-m7,52,7,True,10186.525534888036,3535.4696224926925,0.7539926999997988,
eil76-m2,76,2,True,597.2066020081777,323.1719263137045,0.23181470000054105,
eil76-m3,76,3,True,628.3545478055457,215.18815769366338,0.24134440000125323,
eil76-m5,76,5,True,699.7093268742307,156.4831687518204,0.5164660999980697,
eil76-m7,76,7,True,798.5228580378216,162.09991512619996,1.0221792000011192,
rat99-m2,99,2,True,1465.1344671000575,840.534490926842,0.9177968000003602,
rat99-m3,99,3,True,1552.6086164731119,584.4322748199204,0.8644772000006924,
rat99-m5,99,5,True,2032.569871876996,509.6780820052445,2.838586000001669,
rat99-m7,99,7,True,2500.6503064397907,516.689435510125,4.740362799999275,
